id,target
15970,0
59263,4
21379,3
1855,0
30805,0
29114,13
30039,4
9204,1
48123,12
18653,11
46885,11
12369,0
29928,4
42419,0
51832,5
47359,2
17429,4
12967,9
6842,32
18461,8
9036,1
48311,6
7990,0
56019,14
21977,2
37812,0
4729,0
56825,0
59051,1
20099,0
58183,2
29742,2
51658,4
3954,0
2886,1
23278,4
8580,0
3168,1
18005,3
17871,5
9452,0
44984,4
10268,1
32138,5
59435,1
5891,0
38630,0
4943,0
11188,4
10866,0
59607,17
45258,4
42841,2
22198,1
29570,1
43993,8
6628,1
54924,3
26538,1
9660,0
2288,0
23876,0
54118,1
2872,1
49653,0
8574,9
16957,7
19123,11
13419,0
43369,11
48781,6
56489,18
39524,2
33822,1
58513,0
25947,23
52029,0
5865,0
39716,15
25349,5
55802,16
43967,8
28456,3
34009,0
19311,1
22950,4
49461,1
8746,11
41268,10
11518,1
14856,10
33648,9
59297,0
27846,0
26994,3
49839,11
31923,2
2618,1
54588,0
49005,6
8322,0
13841,4
28200,7
12993,1
18495,9
8110,4
19547,0
7964,0
36934,8
39140,25
20851,2
41866,9
58177,2
44528,9
16392,0
51455,0
50587,5
17240,0
47530,1
12732,2
3365,0
23849,1
43190,4
30462,5
18208,20
54127,1
10065,0
24250,1
32335,4
25382,5
56670,4
5092,0
10859,0
59638,17
15517,1
4140,1
36795,4
40527,4
10257,3
45869,4
11385,0
53130,1
44187,8
21510,2
22395,0
35322,6
18806,12
23247,1
17072,12
42270,1
12500,0
26735,8
30650,0
56026,14
32563,3
58980,8
40143,0
10633,1
24406,0
4716,4
21174,0
15341,3
14293,0
6041,0
17416,1
9835,0
29319,2
12958,1
27283,0
30234,11
9009,2
3533,0
12164,0
26351,4
17624,3
35574,11
13284,3
55491,14
26163,3
3701,0
29917,4
42426,0
32751,1
56214,6
10401,0
40371,3
21346,7
45603,1
37223,0
25520,0
32597,0
58974,8
33445,10
57100,0
41859,9
21180,11
39943,1
52472,16
58148,20
20052,31
5630,11
44517,11
50325,0
8913,1
7167,0
46240,0
27277,0
13042,1
6889,0
31312,0
12190,0
55657,1
6287,0
7355,0
22537,9
43500,0
2627,1
27045,2
13270,0
26197,8
31120,0
15187,0
5402,1
14055,0
20260,0
7731,11
22153,9
43958,9
50573,5
34036,0
8779,0
3391,2
43164,4
2243,0
30496,5
27421,16
57756,28
33213,0
39729,0
25376,5
11143,0
4988,15
44341,0
14431,1
45293,4
41401,0
5254,2
44173,8
25978,8
4386,0
29789,0
19920,2
7503,0
46624,8
34204,3
50741,1
55233,19
13426,0
43356,1
28207,7
13846,0
12994,1
46278,0
16508,3
18492,11
49230,13
39147,25
36933,8
57138,3
20856,1
41861,9
5608,9
53598,26
15983,0
14851,10
59290,4
52678,4
20258,0
47198,9
27841,12
28035,5
31924,2
26993,3
13248,3
43538,0
8325,0
31118,0
19772,1
5862,0
39711,4
14409,1
58726,0
11947,9
36759,4
29583,1
55805,16
7709,3
28451,3
43960,0
8741,0
55039,14
27419,16
34832,1
23885,1
19918,2
22359,0
19124,11
16950,7
49654,3
48786,6
2049,0
44977,4
33019,0
39523,2
52812,10
11349,3
24892,0
58514,0
33825,1
25940,23
38637,0
5896,1
10861,0
59600,17
42846,2
35128,6
47508,5
54923,3
17278,0
31588,0
18230,0
23871,0
9667,0
16198,3
3953,0
29745,4
28697,0
12538,3
30668,7
9455,0
18002,3
44983,4
38405,12
25188,2
24866,12
21528,2
59432,2
6079,0
12960,1
9031,1
6845,32
18466,8
26369,0
33489,0
59056,1
45409,1
56822,3
40947,0
39381,3
15977,0
32769,0
10439,0
59264,4
14099,0
30802,0
51009,5
29113,13
48124,12
9203,1
51835,5
44948,1
24091,0
41406,0
25143,2
44174,8
5253,2
20431,10
14604,13
4381,0
46623,2
19927,9
22366,0
3998,11
51694,7
16153,1
17081,10
50746,1
13421,0
22154,1
16361,0
46411,0
34031,0
50574,5
22968,2
31543,0
55006,14
13613,5
27426,3
2244,0
10096,1
11144,0
25371,5
58719,0
36766,4
45294,4
52223,6
34455,1
6280,0
46075,12
35587,9
7352,0
2620,0
43507,0
28836,0
26190,8
55462,14
11520,3
25715,20
41250,12
38298,10
57335,5
52647,2
20267,1
14052,0
53795,0
44722,11
39178,0
32590,3
11712,0
25527,0
57107,0
20869,9
33442,2
58973,8
52475,16
39944,1
21187,11
36130,1
44510,1
50322,0
13879,0
47395,2
46247,0
7160,0
22702,1
8914,1
43735,6
13045,1
27270,0
12197,0
31315,0
6274,0
17623,3
48927,6
46081,9
35573,11
54544,1
30001,4
29910,4
3706,0
55496,14
56213,6
40376,0
24633,11
10406,15
4523,1
45604,1
15174,0
21341,7
53761,0
37224,0
32564,3
56021,14
40144,0
58987,8
59069,5
15346,0
52481,16
21173,0
40978,0
17411,1
9832,0
6046,0
34693,3
51204,5
30233,1
18459,8
27284,0
42613,6
3534,0
24065,0
10250,2
57597,14
40520,4
1607,3
11382,0
37472,4
53137,1
15722,1
4375,0
35325,6
23240,0
6422,1
26732,8
12507,1
31785,0
17849,0
42879,2
16395,0
51452,0
6610,0
47537,1
17247,0
23072,3
42045,1
3362,0
12735,20
54120,1
30465,5
9658,0
43197,4
24257,1
10062,0
56677,4
25385,5
32332,4
5095,0
37640,2
4147,1
15510,1
21725,0
34038,0
28467,0
16368,3
42884,2
55833,19
46418,4
48582,6
30498,5
8777,0
19320,2
25378,5
4986,0
39727,0
57758,28
5854,2
11971,1
39515,2
45893,4
44941,1
24098,9
4388,0
2843,0
17088,10
3991,0
29787,0
9497,9
13428,0
19112,0
16966,1
49662,7
20860,7
32599,0
39171,0
36905,4
57932,0
41857,9
59094,5
36139,1
28231,8
13870,0
19576,0
27279,0
6887,0
31912,2
22539,1
6289,0
28003,5
8313,2
49034,6
26199,8
2629,1
14867,10
38291,10
11529,0
41259,10
15189,0
20894,1
39185,0
56028,14
40971,1
52488,5
59060,0
4718,0
56814,0
12956,1
29317,2
47368,2
13884,0
19582,0
9007,2
6873,15
18450,8
26951,0
27883,0
30834,0
29919,4
42428,0
12358,0
48112,12
9235,0
14893,22
15941,12
53768,0
21348,7
59252,4
6619,1
50589,5
42870,2
18206,20
54129,1
23847,1
48576,6
9651,0
8783,0
38601,0
11985,1
59636,17
15519,11
10857,0
10259,3
53902,2
38433,2
25982,8
44189,11
24850,12
23249,1
51669,7
3965,0
29773,0
48744,6
17840,1
9463,0
18034,2
16992,12
3159,1
49696,26
33646,9
57303,1
11516,1
20251,0
14064,0
44714,11
5433,0
52671,4
59299,0
49837,11
7364,1
34463,2
31111,3
55454,14
12393,13
54586,0
27074,1
43531,0
46271,15
7156,0
22734,1
8922,12
50314,21
34651,1
6084,0
49239,20
31323,0
43703,6
13073,1
57131,0
40186,0
58945,8
33474,12
59897,15
11724,0
5601,11
58179,2
39972,1
15384,11
52443,16
36106,10
23282,4
34235,0
7532,0
22350,0
16165,1
2040,0
30695,1
13417,0
55202,14
3192,0
16959,7
25175,2
57555,14
52027,0
36562,0
44142,8
14632,31
11172,0
25347,5
39718,0
41602,0
33222,0
57767,29
36750,15
37682,2
34007,0
50542,5
17285,0
43969,8
28458,3
22162,1
16357,0
46427,4
7700,0
27410,16
2272,0
42087,1
55030,14
17043,1
50784,1
2888,1
23276,4
6414,11
18837,12
51656,4
16191,0
30661,7
26704,1
12531,0
56473,18
25181,2
24053,0
10266,1
40516,4
21521,2
4343,1
5291,1
32304,4
57793,19
10054,0
45256,4
37676,2
6626,1
47501,1
22196,1
51464,0
54116,1
30453,3
2286,0
23878,1
48549,12
42073,10
31581,0
3354,0
26536,1
24605,25
10430,0
56225,16
39388,3
14090,0
37212,0
4515,1
45632,5
51000,5
7390,1
35545,9
6242,0
47165,12
17615,0
48911,6
29926,4
42417,22
3730,0
26152,3
54572,0
27080,1
30037,4
46285,15
35777,1
51232,0
17427,4
9804,0
23612,8
6070,0
26360,0
12155,3
42625,6
3502,0
30205,2
9038,1
54740,1
13087,1
10602,0
40172,7
59863,28
32552,1
21979,2
56017,14
20097,0
53565,4
15370,0
39986,1
38434,2
53905,2
1609,0
57599,14
25985,8
59403,0
21519,2
53139,1
3962,0
17847,1
9464,0
16995,9
12509,1
17249,0
42877,10
9656,0
23840,1
43199,4
18201,0
35925,2
8784,7
4975,0
56679,1
24259,1
38606,0
59631,17
4149,1
10850,0
29122,20
51038,5
30833,0
27884,0
55498,14
3708,0
48115,12
10408,0
14894,22
15946,21
1863,0
59255,4
20893,1
58989,8
38050,4
39182,0
41098,0
21941,2
59067,5
15348,0
12951,0
6048,0
13883,0
19585,0
6874,15
18457,8
9000,1
48327,2
35589,9
31915,2
28004,5
27870,0
19743,20
18691,5
47995,4
38296,10
1897,0
52649,2
57109,0
36902,4
25529,0
39176,0
58141,6
57935,9
41850,13
16539,0
46249,0
13877,0
28236,8
19571,0
7952,0
6880,0
11378,0
45894,26
41408,0
33028,0
25971,15
58525,22
37488,4
2844,0
28652,1
29780,3
22368,0
3996,11
19929,22
2078,0
9490,2
49665,7
8542,11
16961,7
28460,3
23088,3
43951,1
55834,40
48585,6
34803,12
55008,14
19327,0
3398,2
39720,15
10098,4
5853,2
11976,1
36768,4
46282,0
47350,2
23615,8
9803,0
3505,1
42622,6
26367,0
18468,8
13080,1
48318,6
33487,0
10605,4
56010,14
32555,1
40949,0
45407,1
4720,0
21142,0
39981,1
59058,0
15377,1
10437,0
24602,0
32767,0
56222,16
37215,0
14097,0
53750,3
52682,4
15145,0
45635,5
4512,1
35542,9
26969,0
51007,5
48916,6
17612,0
6245,0
19788,0
12360,0
26155,3
3737,20
42410,5
29921,4
54575,0
32303,4
56646,0
5898,1
10053,0
24266,0
38639,0
15521,11
45251,4
37671,2
44383,8
17276,0
47506,5
51463,0
42848,10
9669,0
54111,1
12704,1
26531,1
31586,0
3353,0
47734,2
6413,1
18830,12
28699,0
23271,4
17044,9
50783,1
51651,4
16196,0
35314,6
43394,10
17878,5
30666,7
3161,1
8589,0
12536,0
25186,2
56474,18
1636,1
40511,4
10261,3
4344,1
15713,1
53106,6
5296,9
41605,0
25340,5
57760,28
24292,13
33225,15
36757,4
5050,1
44377,8
58728,0
17282,0
34000,0
7707,3
46420,4
16350,0
51497,3
22165,1
2275,0
27417,3
55037,14
19318,2
49468,1
42080,10
22959,1
34232,0
23285,4
50777,1
16162,9
22357,0
19916,2
7535,0
46612,1
13410,0
48788,6
43360,1
30692,1
55205,14
25172,2
56480,18
11347,3
41437,1
33017,0
44979,4
45097,5
36565,8
14635,31
5262,2
8925,12
22733,1
35784,1
7151,0
46276,0
13848,0
6083,0
50313,21
31324,0
13074,1
43704,6
33473,12
58942,4
20858,7
40181,7
57136,3
39149,0
59890,0
53596,26
20064,31
5606,9
44521,9
36101,10
52444,16
39975,1
57304,1
33641,11
41261,10
25724,12
11511,1
5434,0
44713,11
14063,0
20256,0
52676,26
7363,1
46044,6
16734,11
22501,1
49830,11
47196,9
34464,22
12394,13
46878,13
31116,3
28807,0
2611,1
13246,3
3763,0
29975,26
16794,0
51053,5
49890,4
6211,0
48942,6
23473,23
50181,19
17646,11
30858,0
1808,37
37241,1
21324,7
38209,7
10463,0
24656,13
25784,0
44581,3
53536,5
56878,1
4774,3
40121,13
32501,0
56044,14
11783,0
12106,0
26333,4
3551,1
42676,0
2483,0
30256,1
9857,0
6023,0
21572,13
15747,1
52080,0
59468,6
4310,0
53152,0
14695,3
10235,4
1662,0
40545,4
48728,6
30632,0
27685,2
42212,0
17010,1
18864,0
6447,11
7595,1
3909,3
13682,1
54145,1
3307,1
55097,29
47552,1
54979,0
51437,0
35172,2
45205,4
53360,10
37625,0
56612,19
32357,4
40777,11
21586,3
52074,0
14661,0
20454,12
52848,6
39579,1
25126,2
57506,9
43334,2
27671,2
54383,10
55251,19
31714,6
8529,1
50723,15
47794,2
34266,0
18890,0
7561,0
19942,2
46646,8
16136,0
27443,0
13676,1
43106,8
2221,2
55063,14
26591,11
6681,1
34054,3
22131,1
35186,2
36703,8
15581,0
14453,1
53394,0
20666,0
5004,3
25314,4
11121,20
33271,3
40783,11
5838,0
57734,14
3797,1
29981,26
19728,0
28853,0
30090,4
2645,2
16760,2
46010,17
50175,1
58318,13
14037,0
5460,1
44747,1
36367,21
52622,2
57350,5
25770,0
11545,0
56282,5
37087,2
20030,0
39921,2
52410,16
57162,0
58916,21
33427,2
41007,3
25542,0
7939,0
55635,1
42682,0
27215,3
7105,2
16552,0
8971,1
50347,0
34602,5
59665,17
10804,11
4921,0
32368,4
39780,0
38652,1
18255,0
27488,5
9602,0
23814,1
48525,15
3338,0
19387,1
54946,0
23028,0
42823,5
51408,0
55894,18
9430,1
17813,1
48717,6
6478,0
19989,0
3936,0
15778,5
45008,4
37428,2
52883,17
45834,0
33088,1
38460,2
42649,0
9054,1
30269,7
48373,0
6820,11
12905,1
28296,7
57995,15
5699,1
40922,0
38838,15
59033,1
21129,0
56847,3
38004,4
21915,25
25589,25
4579,1
24669,1
56249,16
15912,0
49093,14
31189,10
18631,0
50982,16
29176,3
35529,9
